,name,source_facility_type,source_id,capacity,facility_type,city,full_address,postal_code,provider
847,YMCA WILLIAM LUTSKY CHILD CARE,DAY CARE PROGRAM,F68C43CCED100ED48496CB92D2169846,72,Day Care,EDMONTON,1975 111 STREET,T6J7C6,Province of Alberta
850,ST MARTIN'S OUT OF SCHOOL PROGRAM,OUT OF SCHOOL CARE PROGRAM,0DBAC779BB90E33F703F45264B7A1B18,57,Day Care,VEGREVILLE,4314 54A AVENUE,T9C1C8,Province of Alberta
852,COMMUNITY CHILD CARE INC. - CHESTERMERE,OUT OF SCHOOL CARE PROGRAM,0FA21172A966DDF68078B83F012D7931,40,Day Care,CHESTERMERE,285 WEST CREEK DR.,T1X0L2,Province of Alberta
853,ADVENTURERS SCHOOL AGE CARE LTD: MOTHER MARY GREENE,OUT OF SCHOOL CARE PROGRAM,169D14B8FE3E26C3F9C9AC79B4D0B00C,56,Day Care,CALGARY,115 EDENWOLD DR. NW,T3A3S8,Province of Alberta
855,ROSEMONT COMMUNITY CHILDCARE,OUT OF SCHOOL CARE PROGRAM,2F71321483A44E233D0133E5C83A265C,43,Day Care,CALGARY,19 ROSEVALE DRIVE NW,T2K1N6,Province of Alberta
856,NORTH STAR ELEMENTARY PRESCHOOL,PRE-SCHOOL PROGRAM,34351A76F22C2C74C2CCE0A157D11D76,25,Day Care,COLD LAKE,5520-50 ST,T9M1S9,Province of Alberta
857,KINGS KIDS PRESCHOOL,PRE-SCHOOL PROGRAM,3AC61F1164EDA42DE25D8EFD9596ECFF,32,Day Care,CALGARY,2640 RUNDLELAWN RD. NE,T1Y5X3,Province of Alberta
858,KINGS KIDS OUT OF SCHOOL CARE,OUT OF SCHOOL CARE PROGRAM,43458EB7F8786203A3573E75AEDCBBF0,56,Day Care,CALGARY,2640 RUNDLELAWN RD NE,T1Y5X3,Province of Alberta
859,SPRUCE VIEW PLAYSCHOOL PROGRAM,PRE-SCHOOL PROGRAM,4B23B366DA3F5AF0506C2233898FDA46,24,Day Care,SPRUCE VIEW,SPRUCE VIEW SCHOOL BOX 130,T0M1V0,Province of Alberta
860,WATER VALLEY PLAYSCHOOL SOCIETY,PRE-SCHOOL PROGRAM,513399980E27BB7E266ED6F5913B5F80,14,Day Care,CREMONA,1 MAINSTREET,T0M0R0,Province of Alberta
861,KIDZINC SCHOOL AGE CARE - KILLARNEY,OUT OF SCHOOL CARE PROGRAM,5898F1013D25B0CC2791CBC076065472,42,Day Care,CALGARY,3008 33 ST SW,T3E2T9,Province of Alberta
862,MAMA'S DAYCARE,DAY CARE PROGRAM,5B135CC969F62B4780DEE24BB2D100AD,24,Day Care,EDMONTON,6414 118 AVENUE,T5W1G3,Province of Alberta
863,GARDERIE CHEZ MADAME PICOLO,OUT OF SCHOOL CARE PROGRAM,65D7331D4278D14532A812692E93B15E,25,Day Care,FORT MCMURRAY,100-312 ABASAND DRIVE,T9J1B2,Province of Alberta
865,TEMPLE CHILD'S WAY,DAY CARE PROGRAM,6D2F112C825B2517B9160B5FE5002F47,74,Day Care,CALGARY,6823 43 AVENUE NE,T1Y5N9,Province of Alberta
866,RUNDLE-CANDORA CAC,PRE-SCHOOL PROGRAM,727576BA0DF7BF9A7CD92C6670024E43,10,Day Care,EDMONTON,3112 113 AVENUE,T5W4S2,Province of Alberta
867,MANNING FAMILY DAY HOME PROGRAM,FAMILY DAY HOME,76837FFE8FF528A13E2327D428067BE6,66,Home,MANNING,202 3RD AVENUE SE,T0H2M0,Province of Alberta
868,"READY, SET, GO! PRESCHOOL",PRE-SCHOOL PROGRAM,77818B8438D3975ADB9822622123A5A8,24,Day Care,CALGARY,6098 PENBROOKE DRIVE SE,T2A6M7,Province of Alberta
872,100 WORLDS PRESCHOOL,PRE-SCHOOL PROGRAM,802B75EDFBF74D81AA30020D4AEBA7E8,24,Day Care,AIRDRIE,"503, 3 STONEGATE DRIVE",T4B0N2,Province of Alberta
873,GLOBAL CHILDCARE CENTRE,DAY CARE PROGRAM,806330DEF374173394FD9B99E3E1C0A4,61,Day Care,LEDUC,5007 49 AVENUE,T9E6M6,Province of Alberta
879,WINSTON HEIGHTS CHRISTIAN DAY CARE,DAY CARE PROGRAM,8104B72BD8834424C210C4433262775A,38,Day Care,CALGARY,403 - 28 AVE NE,T2E2B6,Province of Alberta
881,UPLANDS DAY CARE CENTRE LTD.,DAY CARE PROGRAM,87BA10F6C94C03805F760B854B388A2F,50,Day Care,LETHBRIDGE,216 BLUEFOX BLVD NORTH,T1H5W5,Province of Alberta
882,EDELWEISS PREPARATORY SCHOOL LTD.,PRE-SCHOOL PROGRAM,8F13C9FB30F6BDD958EC5BF79D35550A,60,Day Care,CALGARY,600 NORTHMOUNT DRIVE NW,T2K3J5,Province of Alberta
883,RANCHLANDS CHILDREN COME FIRST ASSOCIATION-BANFF TRAIL,OUT OF SCHOOL CARE PROGRAM,9280159E17E9CC4264F899A6428CAFB7,75,Day Care,CALGARY,3232 COCHRANE RD NW,T2M4J3,Province of Alberta
884,MANNVILLE PRESCHOOL SOCIETY,PRE-SCHOOL PROGRAM,97799CF9D4F8EE7154C477DDEC39C3F7,21,Day Care,MANNVILLE,5002 52ND AVENUE,T0B2W0,Province of Alberta
885,KING'S KIDS PLAYSCHOOL,PRE-SCHOOL PROGRAM,9A0246C07988A83F1693C359ABF0D8C9,19,Day Care,RED DEER,18 SELKIRK BOULEVARD,T4N0G2,Province of Alberta
886,WINSTON HEIGHTS CHRISTIAN DAY CARE,OUT OF SCHOOL CARE PROGRAM,9A6CBDF42CF5CB4B1D1852D90C4C128D,10,Day Care,CALGARY,403 - 28 AVE NE,T2E2B6,Province of Alberta
887,ADVENTURERS SCHOOL AGE CARE LTD. MSGR N. ANDERSON,OUT OF SCHOOL CARE PROGRAM,9E31A7D951E6388F0A19DA117606CB95,40,Day Care,CALGARY,327 SANDARAC DRIVE NW,T3K4B2,Province of Alberta
889,GLOBAL CHILDCARE CENTRE OSC,OUT OF SCHOOL CARE PROGRAM,A2D9D18EFB5AB36074ACDBAE629EE6D2,26,Day Care,LEDUC,5007 49 AVENUE,T9E6M6,Province of Alberta
890,MARLBOROUGH PARK PRESCHOOL,PRE-SCHOOL PROGRAM,A304469EAA364F1FD96FD255EC8F2E70,20,Day Care,CALGARY,6021 MADIGAN DRIVE NE,T2A5G9,Province of Alberta
892,PEMBINA PLAYSCHOOL ASSOCIATION,PRE-SCHOOL PROGRAM,B5B3E191C7D38469B28DFCC97D52BDA2,20,Day Care,ENTWISTLE,5232 50 STREET,T0E0S0,Province of Alberta
894,HOLY CROSS PRE-SCHOOL,PRE-SCHOOL PROGRAM,BC9DE442E16F8896E9EE0CB79D502461,32,Day Care,COLD LAKE,5201 - 49 STREET,T9M0B9,Province of Alberta
895,IT'S A B.L.A.S.T. - ECOLE AGNES DAVIDSON SCHOOL,OUT OF SCHOOL CARE PROGRAM,C51543D53F9FC962DF613954C7B6C43C,100,Day Care,LETHBRIDGE,2103 - 20 ST. SOUTH,T1K2G7,Province of Alberta
897,LITTLE OWL LEARNING CENTRE INC.,DAY CARE PROGRAM,CF8DFBBB435287D8A949446DF3C46327,66,Day Care,MEDICINE HAT,423 4TH STREET SE,T1A0K5,Province of Alberta
898,ST. JEROME OUT-OF-SCHOOL CARE,OUT OF SCHOOL CARE PROGRAM,D92D8BE9FBA94EFB2A92A3E44ED38E7F,22,Day Care,EDMONTON,3310 107 AVENUE,T5W0C7,Province of Alberta
900,CHEZ MADAME PICOLO DAYCARE,DAY CARE PROGRAM,DE6C411C705A211EDF0CB6A7EEFCBA04,48,Day Care,FORT MCMURRAY,100-312 ABASAND DR,T9J1B2,Province of Alberta
901,TEMPLE CHILD'S WAY,OUT OF SCHOOL CARE PROGRAM,E460E08359EA2D3158A3977E3FCB0A0A,44,Day Care,CALGARY,6823 43 AVENUE NE,T1Y5N9,Province of Alberta
906,SUNNY BUNNY DAYCARE,DAY CARE PROGRAM,0A1A6869110612AE94A380AED73D3DBD,59,Day Care,EDMONTON,14105 94 STREET,T5E6B2,Province of Alberta
907,BRIAR HILL CHILDREN'S PROGRAMS,DAY CARE PROGRAM,1074DFB7F8CF1634DD0EF9D0980D9BBB,38,Day Care,CALGARY,1233 - 21 STREET NW,T2N2L8,Province of Alberta
908,CANCARE CHILDREN'S CENTRE II,DAY CARE PROGRAM,17E25141F3B7FDD85A22FA2D7EBBF8BF,80,Day Care,CALGARY,30 ARBOUR LAKE WAY NW,T3G5X4,Province of Alberta
909,CABUSH OUT OF SCHOOL CARE,OUT OF SCHOOL CARE PROGRAM,18DB5935182228C714F441E5C3AE94BB,35,Day Care,EDMONTON,2850 MILLWOODS ROAD,T6K4A1,Province of Alberta
910,SHOWER WITH LOVE OUT OF SCHOOL CARE,OUT OF SCHOOL CARE PROGRAM,1A770189E2308D2252602550D5DF5814,28,Day Care,EDMONTON,12115/12119 54 STREET,T5W3N4,Province of Alberta
914,BRIGHTPATH MCKENZIE TOWNE,DAY CARE PROGRAM,1B1E6608C34B917FD5C7F69E81B7082E,241,Day Care,CALGARY,97 MCKENZIE TOWNE BLVD. SE,T2Z3S7,Province of Alberta
