,name,source_facility_type,licence_status,street_number,street_name,city,province,postal_code,provider
4392,MILVERTON NURSERY SCHOOL & BEFORE/AFTER SCHOOL PROGRAM,Child Care Centre,Active,68,Mill Street,Milverton,ON,N0K 1M0,Province of Ontario
4393,PERTH CARE FOR KIDS,Child Care Centre,Active,177,Frances Street,Mitchell,ON,N0K 1N0,Province of Ontario
4394,PERTH CARE FOR KIDS - BLANSHARD NURSERY SCHOOL,Child Care Centre,Inactive,161,Peel Street,St. Marys,ON,N4X 1B2,Province of Ontario
4395,PERTH CARE FOR KIDS - MITCHELL DISTRICT HIGH SCHOOL SITE,Child Care Centre,Inactive,95,Frances Street,Mitchell,ON,N0K 1N0,Province of Ontario
4396,PERTH CARE FOR KIDS - RITZ HALL SITE,Child Care Centre,Active,25,Frances Street,Mitchell,ON,N0K 1N0,Province of Ontario
4397,PERTH CARE FOR KIDS-UTES SITE,Child Care Centre,Active,165,Frances Street,Mitchell,ON,N0K 1N0,Province of Ontario
4398,PERTH CARE FOR KIDS LICENCED HOME CHILD CARE SERVICE,Home Child Care Agency,Active,177,Frances Street,Mitchell,ON,N0K 1N0,Province of Ontario
4399,Kinder Connection Nursery School,Child Care Centre,Active,11,Norman Street,Petawawa,ON,K8H 1P7,Province of Ontario
4400,Kiddie Kollege Nursery School (South Side),Child Care Centre,Active,1578,Wolfe Avenue,Petawawa,ON,K8H 2S9,Province of Ontario
4401,Lil' Troopers Day Care,Child Care Centre,Active,28,Craftsman Road,Petawawa,ON,K8H 2X3,Province of Ontario
4402,Lil' Troopers Day Care - South,Child Care Centre,Active,22,Leeder Lane,Petawawa,ON,K8H 1L3,Province of Ontario
4403,North Side Childcare Service,Child Care Centre,Active,16,Regalbuto Street,Petawawa,ON,K8H 1L3,Province of Ontario
4404,PMFRC- Our Lady of Sorrows,Child Care Centre,Active,19,Mohns Avenue,Petawawa,ON,K8H 2G7,Province of Ontario
4405,PMFRC-School Based program-Valour K-12,Child Care Centre,Active,19,Leeder Lane,Petawawa,ON,K8H 0B8,Province of Ontario
4406,South Side Childcare Service,Child Care Centre,Active,1578,Wolfe Avenue,Petawawa,ON,K8H 2S9,Province of Ontario
4407,Petawawa Military Family Resource Centre Private Home Day Care,Home Child Care Agency,Active,16-Oct,Regalbuto Street,Petawawa,ON,K8H 1L3,Province of Ontario
4408,Peter Pan Co-operative Preschool,Child Care Centre,Active,435,Mohawk Road,Hamilton,ON,L9C 1X3,Province of Ontario
4409,School for Young Moms,Child Care Centre,Active,201,McDonnel Street,Peterborough,ON,K9H 2W1,Province of Ontario
4410,Petit Pearson Child Care - North York,Child Care Centre,Active,7,Snowcrest Avenue,Toronto,ON,M2K 2K5,Province of Ontario
4411,Phoenix Child Centre,Child Care Centre,Active,625,Seneca Hill Drive,Toronto,ON,M2J 2W6,Province of Ontario
4412,Pic Mobert Children's Community Space,Child Care Centre,Active,627,8th Street,Pic Mobert,ON,P0M 2J0,Province of Ontario
4413,Great Beginnings Child Care Centre,Child Care Centre,Active,1920,Bayly Street,Pickering,ON,L1W 3R6,Province of Ontario
4414,Pied Piper Co-operative Pre-school,Child Care Centre,Active,21,Stonechurch Road,Hamilton,ON,L9B 1A1,Province of Ontario
4415,Pikangikum Kikinwaamaawaganaasuk Centre,Child Care Centre,Active,,General Delivery,Pikangikum,ON,P0V 2L0,Province of Ontario
4416,Pine Lake Montessori School,Child Care Centre,Active,255,Sheppard Avenue,Toronto,ON,M2N 1N2,Province of Ontario
4417,"Pine Lake Montessori School, Toddlers",Child Care Centre,Active,253,Sheppard Avenue,Toronto,ON,M2N 1N2,Province of Ontario
4418,Pine Ridge Nursery School Incorporated,Child Care Centre,Active,178,Church Street,Bowmanville,ON,L1C 1T9,Province of Ontario
